"gut_r1"	"gut_r2"	"gut_r3"	"duct_r1"	"duct_r2"	"duct_r3"	"node_r1"	"node_r2"	"node_r3"
"ENSMUSG00000003746"	3145.05	2614.16	3198.28	9381.69	6366.62	4764.74	5303.98	10704.31	11626.42
"ENSMUSG00000003752"	661.38	609.43	621.25	261.93	130.34	142.74	155.62	307.51	266.32
"ENSMUSG00000003779"	912.06	846.51	1218.98	579.54	139.03	243.18	47.52	300.19	237.82
"ENSMUSG00000003863"	0	0	0.69	3.92	25.1	18.88	46.59	17.9	12.47
"ENSMUSG00000003873"	1792.68	2281.46	2052.63	3250.61	4959.86	5398.38	6069.95	4209.97	4270.95
"ENSMUSG00000003882"	355.21	209.88	222.77	774.03	1022.48	803.56	1638.16	3154.84	3990.38
"ENSMUSG00000003923"	575.36	608.65	551.38	1033.61	844.83	1184.2	1036.2	746	583.41
"ENSMUSG00000004069"	1308.89	1176.88	841.25	763.05	510.76	728.8	453.8	482.42	560.26
"ENSMUSG00000004113"	0	0	1.38	40	21.24	36.25	54.05	43.12	39.19
"ENSMUSG00000004127"	284.9	246.41	179.87	195.27	42.48	67.22	128.59	139.93	90.85
"ENSMUSG00000004207"	91992.57	81452.51	69343.78	32177.54	50420.29	29096.71	16979.82	13609.4	23135.27
"ENSMUSG00000004267"	70.3	73.85	60.19	1251.62	1693.52	733.33	3984.51	3767.42	2574.15
"ENSMUSG00000004296"	883.39	467.95	745.09	3038.09	3791.59	4208.89	18374.78	10701.06	11868.7
"ENSMUSG00000004356"	622.53	492.05	586.66	199.19	129.38	328.52	49.39	178.97	86.4
"ENSMUSG00000004359"	1.85	2.33	2.08	1219.47	2077.79	1635.07	191.03	420.59	525.52
"ENSMUSG00000004364"	3921.13	3208.04	4128.78	2707.93	1874.07	1924.32	1749.98	3156.46	3344.61
"ENSMUSG00000004393"	1507.77	1924.67	1640.99	1231.23	1039.86	1123.78	970.04	892.43	679.61
"ENSMUSG00000004394"	1187.72	1149.67	1120.75	1662.56	1876	1403.22	2588.63	2151.76	2075.35
"ENSMUSG00000004451"	3006.29	3158.29	3025.32	1620.99	2121.24	1252.93	1993.19	1679.11	1828.63
"ENSMUSG00000004460"	4342.94	4049.89	4023.62	7894.01	5209.93	7095.38	3749.69	3245.95	2898.37
"ENSMUSG00000004508"	1412.5	1294.25	2082.38	810.89	521.38	169.93	238.55	844.43	1208.69
"ENSMUSG00000004530"	5076.47	4486.75	4883.55	2814.58	2400.28	1243.11	1630.7	2409.65	1954.22
"ENSMUSG00000004562"	726.14	776.55	708.42	2178.58	2501.66	1147.95	8528.12	8378.45	9411.23
"ENSMUSG00000004568"	151.7	155.47	206.85	517.59	566.76	396.5	407.21	442.56	289.48
"ENSMUSG00000004591"	1418.97	1153.56	1506.78	999.1	697.1	688.01	1075.33	1028.29	1182.86
"ENSMUSG00000004609"	6388.14	5771.67	6674.67	277.62	270.34	249.23	17.7	73.22	123.81
"ENSMUSG00000004612"	20.35	73.07	58.11	330.16	294.48	631.37	2297.9	677.66	653.78
"ENSMUSG00000004633"	2041.5	1958.09	1812.57	1311.22	1151.86	740.88	247.87	262.77	267.21
"ENSMUSG00000004642"	2009.13	2161.75	2465.64	3141.61	2756.55	4264.78	2529.92	2939.25	2852.94
"ENSMUSG00000004655"	28.68	41.98	45.66	3.14	2.9	2.27	3.73	3.25	8.91
"ENSMUSG00000004698"	1611.37	1546.11	2402	643.85	341.79	377.61	97.84	257.07	246.73
"ENSMUSG00000004707"	478.23	575.22	440.69	1948.02	1760.14	1224.23	785.53	639.43	465.84
"ENSMUSG00000004709"	5764.68	5133.49	5784.3	1054.78	600.55	622.31	118.34	89.49	82.84
"ENSMUSG00000004788"	4847.99	4789.13	3531.74	1536.3	1311.17	1836.72	3051.75	1984.18	1736.88
"ENSMUSG00000004789"	4562.17	4132.29	3755.19	2498.54	3258.62	1905.44	1797.5	2099.7	2294.47
"ENSMUSG00000004791"	2121.06	1862.48	1129.05	79.21	65.66	21.15	94.11	217.21	243.16
"ENSMUSG00000004798"	1029.54	923.47	1543.45	473.67	446.07	146.51	366.21	624.78	653.78
"ENSMUSG00000004837"	1177.54	1467.6	1312.38	2466.39	1836.41	2115.4	3089.02	2121.66	1524.89
"ENSMUSG00000004885"	0	0	0	0	1.93	27.19	0	13.02	26.72
"ENSMUSG00000004929"	639.18	677.05	498.11	366.23	284.83	198.63	276.75	158.64	158.55
"ENSMUSG00000004933"	619.76	722.14	642.7	1715.88	2078.76	1385.09	487.35	603.63	241.38
"ENSMUSG00000004934"	672.48	686.38	571.44	963.81	1130.62	1119.25	1659.59	1127.54	1002.94
"ENSMUSG00000004996"	1489.27	1937.11	1411.31	945.78	1265.79	978.02	630.85	506.82	456.93
"ENSMUSG00000005034"	2991.49	2244.15	2867.59	1232.02	1000.28	618.53	470.57	1157.64	1207.8
"ENSMUSG00000005054"	1169.22	1242.95	1147.04	2573.83	4633.52	5048.71	12010.37	3106.84	3416.76
"ENSMUSG00000005078"	298.78	404.99	289.87	532.49	571.59	666.11	660.67	382.35	341.14
"ENSMUSG00000005089"	0	3.11	2.08	141.94	146.76	136.7	1.86	64.27	111.34
